Question Number,Question,Docs,Retrieved Files,Avg Similarity,Accuracy,Precision,Recall,F1
1,Does early administration of neuromuscular blocking agents increases the ventilator free days?,"ROSE, ENB, NBSARDS, ESCNBC, TOF-ARDS, ACURASYS, PVOEMVRARDS, LSPA, EDPMARDSLPMV","ENB, DDS, ETSDMV, ACURASYS, SMDLTSWCI, FMWSCPARDS, HDDSICU, ESCNBC, TOF-ARDS",0.8226981321970622,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333
2,Do patients with severe ARDS being treated with neuromuscular blocking agents have increased muscle weakness?,"ROSE, ENB, NBSARDS, ESCNBC, TOF-ARDS, ACURASYS, ETSDMV, PVOEMVRARDS, LSPA, EDPMARDSLPMV","EDPMARDSLPMV, CEIIUPPSARDS, APV, NBSARDS, PPATDSHMA, LSPA, ACURASYS, PTARDS, ROSE, ESCNBC, OSCILLATE",0.8546139913446763,0.3125,0.45454545454545453,0.5,0.47619047619047616
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?","ROSE, ENB, NBSARDS, ESCNBC, TOF-ARDS, ETSDMV, PVOEMVRARDS","EDPMARDSLPMV, OSCILLATE, CEIIUPPSARDS, RARDS, APV, NBSARDS, BMIMSARDS, ESCPARDS, PPATDSHMA, LSPA, ACURASYS, ROSE, ESCNBC, TOF-ARDS",0.8473019335005019,0.16666666666666666,0.21428571428571427,0.42857142857142855,0.2857142857142857
4,Do patients with moderate-to-severe ARDS have a significance difference in mortality rate between patients who recieved an early and continuous cisatracurium infusion than those with usual care approach with lighter sedation targets?,"ROSE, ENB, NBSARDS, ESCNBC, TOF-ARDS, ETSDMV, PVOEMVRARDS","CEIIUPPSARDS, NBSARDS, BMIMSARDS, PPATDSHMA, ACURASYS, ROSE, TOF-ARDS",0.8121422529220581,0.16666666666666666,0.2857142857142857,0.2857142857142857,0.2857142857142857
5,"Among patients with ALI/ARDS, does a conservative fluid management strategy improves lung function and decrease ventilator days compared to liberal strategy?","PAC-in-FACTT, FMWSCPARDS, ARDSSRDRFMS, FACTT","PAC-in-FACTT, FMWSCPARDS, DIHRFARDSNET, RARDS",0.8170326709747314,0.3333333333333333,0.5,0.5,0.5
6,Does a conservative fluid management strategy result in a significant difference in mortality as the primary outcome?,"PAC-in-FACTT, FMWSCPARDS, ARDSSRDRFMS, FACTT","ARDSSRDRFMS, FMWSCPARDS, FACTT, RARDS",0.8434309618813651,0.3333333333333333,0.5,0.5,0.5
7,Does mechanical ventilation with a lower tidal volume result in decreased mortality with acute lung injury and acute respiratory distress syndrome?,"APV, ARDSNet, DIHRFARDSNET, DLASPEEPvsARDSNET","ARDSNet, EDPMARDSLPMV, ENB, RARDS, CEIIUPPSARDS, HARDST, NBSARDS, ARDSSRDRFMS, LSPA",0.8752956766831247,0.08333333333333333,0.1111111111111111,0.25,0.15384615384615383
8,Does mechanical ventilation with a lower tidal volume result increased ventilator free days with patients with acute lung injury and acute respiratory distress syndrome?,"APV, ARDSNet, DIHRFARDSNET, DLASPEEPvsARDSNET","ARDSNet, EDPMARDSLPMV, ENB, RARDS, CEIIUPPSARDS, HARDST, NBSARDS, ETSDMV, ARDSSRDRFMS, PPATDSHMA, LSPA, FMWSCPARDS",0.8574740886688232,0.06666666666666667,0.08333333333333333,0.25,0.125
9,Prone positioning sessions in patients with severe ARDS significantly decreased mortality?,"CEIIUPPSARDS, ETSDMV, PROSEVA, PPATDSHMA, EDPMARDSLPMV","EDPMARDSLPMV, CEIIUPPSARDS, RARDS, APV, FMWSCPARDS, NBSARDS, ACURASYS, LSPA, ROSE, BMIMSARDS, ESCNBC, TOF-ARDS",0.8534840477837456,0.0625,0.08333333333333333,0.2,0.11764705882352941
10,Does early application of high frequency oscillatory ventilation compared with ventilation strategy of low tidal volume decrease mortality?,OSCILLATE,"ARDSNet, EDPMARDSLPMV, CEIIUPPSARDS, RARDS, ENB, HARDST, ETSDMV, PPATDSHMA, LSPA, DDMLSMVICP, BMIMSARDS, OSCILLATE",0.8476822733879089,0.08333333333333333,0.08333333333333333,1.0,0.15384615384615385
