Question number,Question,Retrieved FileName,Chunk Text,Page Number,Position,Similarity
1,Does early administration of neuromuscular blocking agents increases the ventilator free days?,FMWSCPARDS.pdf," mortality to FACTT Conservative. FACTT Conservative has improved ventilator-free days,  ICU-free days, and prevalence of acute kidney injury than FACTT Liberal. FACTT Lite can  be used as a simplified and safe alternative to FACTT Conservative for the management of  fluid balance in patients with ARDS. Supplementary Material Refer to Web version on PubMed Central for supplementary material. Acknowledgments Supported, in part, by the National Institutes of Health, National",8,76,0.8505194187164307
1,Does early administration of neuromuscular blocking agents increases the ventilator free days?,FMWSCPARDS.pdf," be easily understood and implemented by  physician and nursing staff in the ICU. Conclusions Although the FACTT Lite protocol had a greater cumulative fluid balance than FACTT  Conservative, the results of our study indicate that the FACTT Lite protocol is safe and has  equivalent ventilator-free days, ICU-free days, acute kidney injury, and adjusted 60-day  mortality to FACTT Conservative. FACTT Conservative has improved ventilator-free days,",8,75,0.8505194187164307
1,Does early administration of neuromuscular blocking agents increases the ventilator free days?,ETSDMV.pdf," [17,18,22,23]. The main side effects of  dexmedetomidine are bradycardia, hypotension and the potential for withdrawal symptoms  upon discontinuation of long-term therapy [17,18]. When compared to other sedatives,  dexmedetomidine has been shown to result in a more awake and interactive patient, a lower  incidence of delirium, more ventilator free days, and less days in the ICU [17–",3,26,0.8439829349517822
1,Does early administration of neuromuscular blocking agents increases the ventilator free days?,FMWSCPARDS.pdf,"; critical illness; fluid  therapy; shock Conservative fluid management improves ventilator-free days and oxygenation in patients  with the Acute Respiratory Distress Syndrome (ARDS). In the Fluid and Catheter Treatment  Trial (FACTT) of the National Institutes of Health, National Heart Lung and Blood Institute,  ARDS Network (NIH/NHLBI ARDS Network), patients were randomized and managed  with either a conservative fluid protocol (FACTT Conservative)",2,16,0.8276040554046631
1,Does early administration of neuromuscular blocking agents increases the ventilator free days?,SMDLTSWCI.pdf," 11, 14, 15]. Unlike other sedatives, dexmedetomidine—a highly  selective central alpha-2 adrenergic agonist with both  analgesic and sedative effects, notable for its ability to  provide light sedation, analgesia, and physiologic-like  sleep, as well as its minimal effect on respiratory drive— has been shown to result in a more awake and interactive  patient, a lower incidence of delirium, fewer days on ven- tilator",2,19,0.8245699405670166
1,Does early administration of neuromuscular blocking agents increases the ventilator free days?,ENB.pdf," severe ARDS for its  short-term benefit in early phase of disease. Prolonged use of NMBAs beyond 48 hours requires further study. (Cite this article as: Lyu T, Lee YS, Dhanvijay S, Freebairn R. The effect of neuromuscular blocking agents uses in acute  respiratory distress syndrome: a systematic review and meta-analysis of randomized controlled trials. Minerva Anestesiol  2021;87:341-",1,9,0.823427677154541
1,Does early administration of neuromuscular blocking agents increases the ventilator free days?,ENB.pdf,"Vol. 87 - No. 3	 Minerva Anestesiologica	 341 R E V I E W The effect of neuromuscular blocking agents  uses in acute respiratory distress syndrome:  a systematic review and meta-analysis  of randomized controlled trials Ting LYU 1 *, Yee S. LEE 1, Shekhar DHANVIJAY 1, Ross FREEBAIRN 2 1Department of Intensive Care Medicine, Ng Teng Fong General Hospital,",1,1,0.823427677154541
1,Does early administration of neuromuscular blocking agents increases the ventilator free days?,DDS.pdf,"medetomidine in critically ill patients increased ventilator-free time [11] and decreased the incidence of postoperative complications, delirium, and mortality up to 1 year post-cardiac surgery [12]. In postoperative patients, dexmedetomidine provided sympatholytic ac- tivity [13]. It also offers anti-inflammatory and organ protective effects in animal models [14]. The use of dexmedetomidine as an anti-adrenergic strategy in se",1,6,0.8178668022155762
1,Does early administration of neuromuscular blocking agents increases the ventilator free days?,DDS.pdf," mediated by a blunted immune response, resulting in an improved microcirculation [7], or enhanced adrener- gic receptor sensitivity [8]. Dexmedetomidine is a highly selective alpha-2 adre- noreceptor agonist that has sedative, anxiolytic, and opioid-sparing effects (Table 2) [9, 10]. The use of dexmedetomidine in critically ill patients increased ventilator-free time [11] and decreased",1,5,0.8178668022155762
1,Does early administration of neuromuscular blocking agents increases the ventilator free days?,ESCNBC.pdf," The  COVID-19 Critical Care Consortium  Abstract  Background:  The role of neuromuscular blocking agents (NMBAs) in coronavirus disease 2019 (COVID-19) acute  respiratory distress syndrome (ARDS) is not fully elucidated. Therefore, we aimed to investigate in COVID-19 patients  with moderate-to-severe ARDS the impact of early use of NMBAs on 90-day mortality, through propensity score (PS)",1,6,0.8158602714538574
1,Does early administration of neuromuscular blocking agents increases the ventilator free days?,TOF-ARDS.pdf,"ourenne2 Abstract  Background:  Neuromuscular blocking agents (NMBAs) have been shown to improve the outcome of the most  severely hypoxemic, acute respiratory distress syndrome (ARDS) patients. However, the recommended dosage as  well as the necessity of monitoring the neuromuscular block is unknown. We aimed to evaluate the efficiency of a  nurse-directed protocol of NMBA administration based on a train-of-four (TOF) assessment",1,3,0.8104820251464844
1,Does early administration of neuromuscular blocking agents increases the ventilator free days?,ACURASYS.pdf," mechanical ventilation for the acute respiratory distress syn- drome (ARDS), neuromuscular blocking agents may improve oxygenation and de- crease ventilator-induced lung injury but may also cause muscle weakness. We evalu- ated clinical outcomes after 2 days of therapy with neuromuscular blocking agents in  patients with early, severe ARDS. Methods In this multicenter, double-blind trial, 340 patients presenting to the intensive care  unit (ICU) with an onset",1,11,0.8104820251464844
1,Does early administration of neuromuscular blocking agents increases the ventilator free days?,ACURASYS.pdf," des Bourrely, 13009 Marseille, France, or  at laurent.papazian@ap-hm.fr. *The ARDS et Curarisation Systematique  (ACURASYS) study investigators are  listed in the Appendix. N Engl J Med 2010;363:1107-16. Copyright © 2010 Massachusetts Medical Society. Background In patients undergoing mechanical ventilation for the acute respiratory distress syn- drome (ARDS), neuromuscular blocking agents",1,10,0.8104820251464844
1,Does early administration of neuromuscular blocking agents increases the ventilator free days?,TOF-ARDS.pdf,"/kg of predicted body weight  (PBW) [2], a short course of neuromuscular blocking  agents (NMBAs) [3] in severely hypoxemic patients, and  the use of prone positioning (PP) [4]. NMBAs are fre- quently used in the most severe forms of ARDS [1]. They  are the only pharmacologic intervention that has been  shown to improve the prognosis of moderate-to-severe  ARDS",1,12,0.8104820251464844
1,Does early administration of neuromuscular blocking agents increases the ventilator free days?,HDDSICU.pdf,". Results showed that patients treated with dexmedetomidine experienced a comparable level of sedation, spent less time on the ventilator, experi- enced less delirium, and developed less tachycardia and hypertension.  Both the MENDS and SEDCOM trials used higher dexmedetomidine doses for longer durations than those previously studied and showed similar efficacy and safety outcomes.5,11 However, neither study assessed the impact of doses greater than 0.7",2,15,0.8028988838195801
2,Do patients with severe ARDS being treated with neuromuscular blocking agents have increased muscle weakness?,LSPA.pdf,"–31 or  high PEEP strategies32,33 that are often employed for management of ARDS. However, deep  sedation is required in patients with ARDS who receive neuromuscular blockage to ensure  patients do not consciously experience paralysis.34,35 Neuromuscular blockage is sometimes  used in severe ARDS based on results of a multicenter trial in France that showed improved  mortality with 48 hours of neuromuscular blockage in patients who have severe",3,23,0.9385466575622559
2,Do patients with severe ARDS being treated with neuromuscular blocking agents have increased muscle weakness?,NBSARDS.pdf," how NMB agents are used in patients with ARDS. A very high proportion (96.6%) of intensivists who treat patients with moderate to severe ARDS use NMB, and almost 40% of these respondents use NMB in more than half their patients with moderate to severe ARDS. These results are in line with other recent surveys. The LUNG SAFE study, a prospective study of 459 ICUs in 50 countries conducted in the winter of 2014, found that 37",5,59,0.8736917972564697
2,Do patients with severe ARDS being treated with neuromuscular blocking agents have increased muscle weakness?,ROSE.pdf,"ade (ROSE) trial —  a multicenter, unblinded, randomized trial of  patients with moderate-to-severe ARDS — to  determine the efficacy and safety of early neuro- muscular blockade with concomitant heavy se- dation as compared with a strategy of usual  care with lighter sedation targets. We hypothe- sized that the use of early neuromuscular block- ade would result in lower all-cause in-hospital  mortality at 90 days",2,22,0.8696675300598145
2,Do patients with severe ARDS being treated with neuromuscular blocking agents have increased muscle weakness?,APV.pdf," ventilation variables have to be properly adjusted during ventilatory therapy, which generally requires continuous care from clinical staff, es- pecially for patients with severe ARDS. To minimize the workload of daily clinical practice and to maintain the standard protocol of protective ventilation, we introduce automatic control of ventilation as a concept for the treatment. In this article, we describe a strategy of auto- matic ventilation in ARDS patients, including continu- ous monitoring of regional ventilation at thoracic cavity using electrical impedance",2,18,0.8652796745300293
2,Do patients with severe ARDS being treated with neuromuscular blocking agents have increased muscle weakness?,ACURASYS.pdf," mechanical ventilation for the acute respiratory distress syn- drome (ARDS), neuromuscular blocking agents may improve oxygenation and de- crease ventilator-induced lung injury but may also cause muscle weakness. We evalu- ated clinical outcomes after 2 days of therapy with neuromuscular blocking agents in  patients with early, severe ARDS. Methods In this multicenter, double-blind trial, 340 patients presenting to the intensive care  unit (ICU) with an onset",1,11,0.8588335514068604
2,Do patients with severe ARDS being treated with neuromuscular blocking agents have increased muscle weakness?,EDPMARDSLPMV.pdf," this result may be due to the wide range of VT used across the trials included. To try to answer this question, we investigated ΔPrs from two trials [4, 5] in which strict lung- protective mechanical ventilation, in particular 6 ml/kg predicted body weight VT, was applied to patients with ARDS. Our working hypothesis was that ΔPrs was asso- ciated with death, just like compliance (Crs) or Pplat,rs. Methods This is a",2,18,0.8582408428192139
2,Do patients with severe ARDS being treated with neuromuscular blocking agents have increased muscle weakness?,CEIIUPPSARDS.pdf, Setting: Intensive care units that care for patients with ARDS. Subjects: Patients with moderate to severe ARDS. For reprints : Corresponding Author: Cameron M Baston. 3400 Spruce St. Philadelphia PA 19104. cbass@alum.mit.edu  +12159133239.  The work was performed at the University of Pennsylvania Declaration of Conflict of Interest: The authors have disclosed that they do not have any conflicts of interest. HHS Public Access Author manuscript Crit,1,6,0.8582408428192139
2,Do patients with severe ARDS being treated with neuromuscular blocking agents have increased muscle weakness?,CEIIUPPSARDS.pdf,"ri F, Pugliese F, Ranieri VM. The Role of Rescue Therapies in the Treatment of Severe  ARDS. Respiratory care 2018;63(1):92–101. [PubMed: 29066591]  9. Li X, Scales DC, Kavanagh BP. Unproven and Expensive Before Proven and Cheap - Extracorporeal  Membrane Oxygenation vs. Prone Position in ARDS. American journal of",8,73,0.8507289886474609
2,Do patients with severe ARDS being treated with neuromuscular blocking agents have increased muscle weakness?,ESCNBC.pdf,"Li Bassi et al. Critical Care          (2022) 26:141   https://doi.org/10.1186/s13054-022-03983-5 RESEARCH Early short course of neuromuscular  blocking agents in patients with COVID‑19  ARDS: a propensity score analysis Gianluigi Li Bassi1,2,",1,1,0.8477845191955566
2,Do patients with severe ARDS being treated with neuromuscular blocking agents have increased muscle weakness?,APV.pdf," the formation of noncardiogenic pulmonary edema and inacti- vation of surfactant, leading to alveolar collapse and atelec- tasis. Progressive hypoxia and an increased work of breathing are then unavoidable. At the onset, ventilation support with mechanical ventilation is generally required. Since 2000, protective ventilation using the Acute Re- spiratory Distress Syndrome Network (ARDSNet) proto- col has continued to be the cornerstone in intensive care for ARDS therapy",2,14,0.8446857929229736
2,Do patients with severe ARDS being treated with neuromuscular blocking agents have increased muscle weakness?,CEIIUPPSARDS.pdf,"entered automatically for patients identified by the electronic health record as being eligible  for PP, then hospitals who admitted few eligible patients should be willing to support it (29). Alternatively, an integrated health system that also insures its beneficiaries might consider  all costs, including additional downstream costs of survivors, making the results of our  societal model more relevant. Suppose such a system was willing to pay $50,000 per QALY  gained and admitted 200 patients with moderate-severe ARDS annually.",6,47,0.8440487384796143
2,Do patients with severe ARDS being treated with neuromuscular blocking agents have increased muscle weakness?,OSCILLATE.pdf,"DS.23-26 We therefore compared HFOV  with a conventional ventilation strategy that used  low tidal volumes and high levels of PEEP in pa- tients with new-onset, moderate-to-severe ARDS. Methods Study Oversight For the pilot phase of the study, we enrolled pa- tients at 11 centers in Canada and 1 in Saudi  Arabia from July 2007 through June 2008; for the  main trial, we enrolled patients at the same cen- ters",2,25,0.8414995670318604
2,Do patients with severe ARDS being treated with neuromuscular blocking agents have increased muscle weakness?,PPATDSHMA.pdf,"occa, Milan, Italy c Department of Anesthesia and Intensive Care, Niguarda Hospital, Milan, Italy Received 7 August 2022; accepted 25 December 2022 Available online xxx Abstract Background: Researchers have tried unsuccessfully for many years using randomized controlled trials to show the efﬁcacy of prone ventilation in treating ARDS. These failed attempts were of use in designing the successful PROSEVA trial, published in 2013. However, the evidence provided by meta-analyses in",2,4,0.8398065567016602
2,Do patients with severe ARDS being treated with neuromuscular blocking agents have increased muscle weakness?,PTARDS.pdf," 17). An important role for platelets in ARDS has also been described (12). This pivotal role for platelet activation in ARDS pathogenesis represents an oppor- tunity for a treatment strategy with ASA, and several studies, human and animal, have been undertaken testing the role of platelet inhibition in ARDS. We chose to study one specific antiplatelet agent in ARDS to produce a more homogeneous analysis. ASA is the most used and studied antiplatelet therapy, has",1,14,0.8398065567016602
2,Do patients with severe ARDS being treated with neuromuscular blocking agents have increased muscle weakness?,NBSARDS.pdf," original ACURASYS trial13 re- sults in the decision to initiate NMB treatment in ARDS patients. We included 4 identically-worded questions ask- ing the respondents to grade the importance they placed on each of 4 potential justifications for starting NMB in pa- tients with moderate to severe ARDS. Based on a mean weighted score, the most important indication for initiating NMB in patients with moderate to severe ARDS was to allow compliance with ARDSNet mechanical ventilation",5,65,0.8339507579803467
2,Do patients with severe ARDS being treated with neuromuscular blocking agents have increased muscle weakness?,ESCNBC.pdf,". Interna- tional studies have confirmed the use of NMBAs in up to  26% of ARDS patients [14]. Yet, conflicting results were  provided by large randomized clinical trials, such as the  ACURASYS [15] and ROSE trials [16], and indication,  efficacy, and safety on the use of NMBAs in such patients  remain uncertain. The severe respiratory failure associated with COVID- 19 has been described as a form of ARDS",2,20,0.8339507579803467
2,Do patients with severe ARDS being treated with neuromuscular blocking agents have increased muscle weakness?,NBSARDS.pdf,"13 and ROSE trials,26 moderate to severe ARDS in the survey was de- fined as PaO2/FIO2  150 mm Hg, along with other Berlin criteria. The survey was approved by the University of Maryland School of Medicine Institutional Review Board. The survey writing team generated an initial 16-ques- tion survey that included 6 demographic questions, 3 ques- tions about whether the respondent managed patients with ARDS and whether they used NMB in their management",2,22,0.8296747207641602
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?",LSPA.pdf,"–31 or  high PEEP strategies32,33 that are often employed for management of ARDS. However, deep  sedation is required in patients with ARDS who receive neuromuscular blockage to ensure  patients do not consciously experience paralysis.34,35 Neuromuscular blockage is sometimes  used in severe ARDS based on results of a multicenter trial in France that showed improved  mortality with 48 hours of neuromuscular blockage in patients who have severe",3,23,0.9309053421020508
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?",RARDS.pdf," ARDSnet trials showed no difference between patients with moderate–severe and mild–moderate ARDS in terms of mortality, even though there were differences in rapid resolution of ARDS, ventilator-free days, and ICU-free days. Author disclosures are available with the text of this article at www.atsjournals.org. Acknowledgment: The authors are grateful to the investigators of ARDS Network (ARDSNet) trials for collecting the data on which this analysis was based,",3,42,0.8712306022644043
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?",ROSE.pdf,"ade (ROSE) trial —  a multicenter, unblinded, randomized trial of  patients with moderate-to-severe ARDS — to  determine the efficacy and safety of early neuro- muscular blockade with concomitant heavy se- dation as compared with a strategy of usual  care with lighter sedation targets. We hypothe- sized that the use of early neuromuscular block- ade would result in lower all-cause in-hospital  mortality at 90 days",2,22,0.8641161918640137
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?",NBSARDS.pdf," how NMB agents are used in patients with ARDS. A very high proportion (96.6%) of intensivists who treat patients with moderate to severe ARDS use NMB, and almost 40% of these respondents use NMB in more than half their patients with moderate to severe ARDS. These results are in line with other recent surveys. The LUNG SAFE study, a prospective study of 459 ICUs in 50 countries conducted in the winter of 2014, found that 37",5,59,0.8626987934112549
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?",CEIIUPPSARDS.pdf,"entered automatically for patients identified by the electronic health record as being eligible  for PP, then hospitals who admitted few eligible patients should be willing to support it (29). Alternatively, an integrated health system that also insures its beneficiaries might consider  all costs, including additional downstream costs of survivors, making the results of our  societal model more relevant. Suppose such a system was willing to pay $50,000 per QALY  gained and admitted 200 patients with moderate-severe ARDS annually.",6,47,0.8527176380157471
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?",BMIMSARDS.pdf,"Body Mass Index and Mortality in Subjects With ARDS: Post-hoc Analysis of the OSCILLATE Trial Haytham Tlayjeh, Yaseen M Arabi, Niall D Ferguson, Qi Zhou, Francois Lamontagne, Alejandro Arroliga, Valerie Danesh, Guillermo Dominguez-Cherit, Edgar Jimenez, Adam Mullaly, Brandon Staub, and Maureen O Meade; for the Canadian Critical Care Trials Group BACK",1,1,0.8506574630737305
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?",TOF-ARDS.pdf,"/kg of predicted body weight  (PBW) [2], a short course of neuromuscular blocking  agents (NMBAs) [3] in severely hypoxemic patients, and  the use of prone positioning (PP) [4]. NMBAs are fre- quently used in the most severe forms of ARDS [1]. They  are the only pharmacologic intervention that has been  shown to improve the prognosis of moderate-to-severe  ARDS",1,12,0.8451581001281738
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?",ACURASYS.pdf," mechanical ventilation for the acute respiratory distress syn- drome (ARDS), neuromuscular blocking agents may improve oxygenation and de- crease ventilator-induced lung injury but may also cause muscle weakness. We evalu- ated clinical outcomes after 2 days of therapy with neuromuscular blocking agents in  patients with early, severe ARDS. Methods In this multicenter, double-blind trial, 340 patients presenting to the intensive care  unit (ICU) with an onset",1,11,0.8446910381317139
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?",ESCNBC.pdf," The  COVID-19 Critical Care Consortium  Abstract  Background:  The role of neuromuscular blocking agents (NMBAs) in coronavirus disease 2019 (COVID-19) acute  respiratory distress syndrome (ARDS) is not fully elucidated. Therefore, we aimed to investigate in COVID-19 patients  with moderate-to-severe ARDS the impact of early use of NMBAs on 90-day mortality, through propensity score (PS)",1,6,0.8433651924133301
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?",CEIIUPPSARDS.pdf,"ri F, Pugliese F, Ranieri VM. The Role of Rescue Therapies in the Treatment of Severe  ARDS. Respiratory care 2018;63(1):92–101. [PubMed: 29066591]  9. Li X, Scales DC, Kavanagh BP. Unproven and Expensive Before Proven and Cheap - Extracorporeal  Membrane Oxygenation vs. Prone Position in ARDS. American journal of",8,73,0.840766429901123
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?",APV.pdf," ventilation variables have to be properly adjusted during ventilatory therapy, which generally requires continuous care from clinical staff, es- pecially for patients with severe ARDS. To minimize the workload of daily clinical practice and to maintain the standard protocol of protective ventilation, we introduce automatic control of ventilation as a concept for the treatment. In this article, we describe a strategy of auto- matic ventilation in ARDS patients, including continu- ous monitoring of regional ventilation at thoracic cavity using electrical impedance",2,18,0.838019847869873
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?",ESCNBC.pdf,"Li Bassi et al. Critical Care          (2022) 26:141   https://doi.org/10.1186/s13054-022-03983-5 RESEARCH Early short course of neuromuscular  blocking agents in patients with COVID‑19  ARDS: a propensity score analysis Gianluigi Li Bassi1,2,",1,1,0.8326091766357422
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?",OSCILLATE.pdf,"DS.23-26 We therefore compared HFOV  with a conventional ventilation strategy that used  low tidal volumes and high levels of PEEP in pa- tients with new-onset, moderate-to-severe ARDS. Methods Study Oversight For the pilot phase of the study, we enrolled pa- tients at 11 centers in Canada and 1 in Saudi  Arabia from July 2007 through June 2008; for the  main trial, we enrolled patients at the same cen- ters",2,25,0.8312351703643799
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?",ESCPARDS.pdf,"prednisolone did not increase  the rate of infectious complications but was associated with a higher rate of neuro- muscular weakness. Conclusions These results do not support the routine use of methylprednisolone for persistent  ARDS despite the improvement in cardiopulmonary physiology. In addition, start- ing methylprednisolone therapy more than two weeks after the onset of ARDS may  increase the risk of death. (ClinicalTrials.gov number, NCT00295269",1,10,0.8305258750915527
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?",CEIIUPPSARDS.pdf, Setting: Intensive care units that care for patients with ARDS. Subjects: Patients with moderate to severe ARDS. For reprints : Corresponding Author: Cameron M Baston. 3400 Spruce St. Philadelphia PA 19104. cbass@alum.mit.edu  +12159133239.  The work was performed at the University of Pennsylvania Declaration of Conflict of Interest: The authors have disclosed that they do not have any conflicts of interest. HHS Public Access Author manuscript Crit,1,6,0.8288090229034424
