Question Number,Question,Docs,Retrieved Files,Avg Similarity,Accuracy,Precision,Recall,F1
1,Does early administration of neuromuscular blocking agents increases the ventilator free days?,"ENB, LSPA, NBSARDS, ACURASYS, ROSE, ESCNBC, EDPMARDSLPMV, PVOEMVRARDS, TOF-ARDS","ETSDMV, FMWSCPARDS, TOF-ARDS, ENB, SMDLTSWCI, ESCNBC, ACURASYS, DDS, HDDSICU",0.8226981321970622,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333
2,Do patients with severe ARDS being treated with neuromuscular blocking agents have increased muscle weakness?,"ETSDMV, ENB, LSPA, NBSARDS, ACURASYS, ROSE, ESCNBC, EDPMARDSLPMV, PVOEMVRARDS, TOF-ARDS","ROSE, APV, EDPMARDSLPMV, PTARDS, OSCILLATE, ACURASYS, ESCNBC, NBSARDS, CEIIUPPSARDS, PPATDSHMA, LSPA",0.8546139913446763,0.3125,0.45454545454545453,0.5,0.47619047619047616
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?","ETSDMV, ENB, NBSARDS, ROSE, ESCNBC, PVOEMVRARDS, TOF-ARDS","ROSE, APV, EDPMARDSLPMV, TOF-ARDS, OSCILLATE, ACURASYS, ESCNBC, ESCPARDS, NBSARDS, CEIIUPPSARDS, RARDS, PPATDSHMA, BMIMSARDS, LSPA",0.8473019335005019,0.16666666666666666,0.21428571428571427,0.42857142857142855,0.2857142857142857
4,Do patients with moderate-to-severe ARDS have a significance difference in mortality rate between patients who received an early and continuous cisatracurium infusion than those with usual care approach with lighter sedation targets?,"ETSDMV, ENB, NBSARDS, ROSE, ESCNBC, PVOEMVRARDS, TOF-ARDS","ROSE, TOF-ARDS, ACURASYS, NBSARDS, CEIIUPPSARDS, BMIMSARDS, PPATDSHMA",0.8129593133926392,0.16666666666666666,0.2857142857142857,0.2857142857142857,0.2857142857142857
5,"Among patients with ALI/ARDS, does a conservative fluid management strategy improves lung function and decrease ventilator days compared to liberal strategy?","FMWSCPARDS, FACTT, PAC-in-FACTT, ARDSSRDRFMS","PAC-in-FACTT, RARDS, FMWSCPARDS, DIHRFARDSNET",0.8170326709747314,0.3333333333333333,0.5,0.5,0.5
6,Does a conservative fluid management strategy result in a significant difference in mortality as the primary outcome?,"FMWSCPARDS, FACTT, PAC-in-FACTT, ARDSSRDRFMS","ARDSSRDRFMS, FACTT, RARDS, FMWSCPARDS",0.8434309618813651,0.14285714285714285,0.25,0.25,0.25
7,Does mechanical ventilation with a lower tidal volume result in decreased mortality with acute lung injury and acute respiratory distress syndrome?,"APV, ARDSNet, DLASPEEPvsARDSNET, DIHRFARDSNET","EDPMARDSLPMV, ENB, HARDST, NBSARDS, CEIIUPPSARDS, ARDSSRDRFMS, RARDS, ARDSNet, LSPA",0.8752956766831247,0.08333333333333333,0.1111111111111111,0.25,0.15384615384615383
8,Does mechanical ventilation with a lower tidal volume result increased ventilator free days with patients with acute lung injury and acute respiratory distress syndrome?,"APV, ARDSNet, SPICE-III, AID-ICU, DLASPEEPvsARDSNET, DIHRFARDSNET","ETSDMV, FMWSCPARDS, EDPMARDSLPMV, ENB, HARDST, NBSARDS, CEIIUPPSARDS, ARDSSRDRFMS, RARDS, PPATDSHMA, ARDSNet, LSPA",0.8574740886688232,0.058823529411764705,0.08333333333333333,0.16666666666666666,0.1111111111111111
9,Prone positioning sessions in patients with severe ARDS significantly decreased mortality?,"ETSDMV, PROSEVA, CEIIUPPSARDS, EDPMARDSLPMV, PPATDSHMA","ROSE, APV, EDPMARDSLPMV, FMWSCPARDS, TOF-ARDS, ACURASYS, ESCNBC, NBSARDS, CEIIUPPSARDS, BMIMSARDS, RARDS, LSPA",0.8534840477837456,0.13333333333333333,0.16666666666666666,0.4,0.23529411764705882
10,Does early application of high frequency oscillatory ventilation compared with ventilation strategy of low tidal volume decrease mortality?,"HDDSICU, MIND-USA, OSCILLATE, SPICE-III, AID-ICU, SEDCOM","BMIMSARDS, DDMLSMVICP, ETSDMV, EDPMARDSLPMV, OSCILLATE, ENB, HARDST, CEIIUPPSARDS, RARDS, PPATDSHMA, ARDSNet, LSPA",0.8476822733879089,0.058823529411764705,0.08333333333333333,0.16666666666666666,0.1111111111111111
11,"Patients with septic shock undergoing mechanical ventilation, did continuous infusion of hydrocortisone result in lower 90-day mortality?","ANNANE, ADRENAL, MIND-USA, NEvsVP, HYPRESS, SPICE-III, PLMALDHSS, CORTICUS, AID-ICU, SEDCOM, APROCCHSS","CORTICUS, TRISS, ANNANE, HYPRESS, FRESHS, ADRENAL, APROCCHSS, SS3vsSS2, PLMALDHSS",0.8692973287482011,0.25,0.4444444444444444,0.36363636363636365,0.39999999999999997
12,Does a 7-day treatment with low doses of steroids significantly reduce the risk of death in patients with septic shock and relative adrenal insufficiency without increasing adverse events?,"ANNANE, ADRENAL, ETSDMV, DDMLSMVICP, HDDSICU, MIND-USA, NEvsVP, EDvsLSMENDS, ESDDVCIP, HYPRESS, SPICE-III, PLMALDHSS, CORTICUS, AID-ICU, SMDLTSWCI, SEDCOM, RDSCI, APROCCHSS","ADRENAL, ANNANE, CORTICUS, PLMALDHSS",0.8304953098297119,0.15789473684210525,0.75,0.16666666666666666,0.27272727272727276
13,Do patients who receive hydrocortisone plus fludrocortisone have a lower 90-day all cause mortality than patients given a placebo?,"ANNANE, ADRENAL, HYPRESS, PLMALDHSS, CORTICUS, NEvsVP, APROCCHSS","CORTICUS, ANNANE, HYPRESS, ADRENAL, APROCCHSS, PLMALDHSS",0.8193416765757969,0.4444444444444444,0.6666666666666666,0.5714285714285714,0.6153846153846153
14,Does steroids hasten the reversal of shock in patients whom had septic shock reversed?,"ANNANE, ADRENAL, HYPRESS, PLMALDHSS, CORTICUS, NEvsVP, APROCCHSS","CORTICUS, TRISS, VASST, ANNANE, HYPRESS, FRESHS, ADRENAL, APROCCHSS, SS3vsSS2, NEvsVP, PLMALDHSS",0.8266250385957605,0.38461538461538464,0.45454545454545453,0.7142857142857143,0.5555555555555556
15,Does early administration of acetaminophen to treat fever affect the number of ICU-free days,"ESDDVCIP, HEAT",HEAT,0.887364387512207,0.5,1.0,0.5,0.6666666666666666
16,Does treatment with activated C protein significantly reduce mortality in patients with severe sepsis?,"ESDDVCIP, SADASS, PROWESS-SHOCK, PROWESS","SADASS, CABS, EDIS, Rivers Trial, LOVIT, ULS, PROWESS, EDvsLSMENDS, APROCCHSS, ALBIOS, PROWESS-SHOCK, PLMALDHSS",0.8495809369617038,0.13333333333333333,0.15384615384615385,0.5,0.23529411764705882
17,Albumin replacement in addition to crystalloids compared with crystalloids alone did not improve the rate of survival,"RUSGATICUD, FRESHS, ULS, SS3vsSS2, ALBIOS, EHPSS","ULS, ALBIOS, SS3vsSS2",0.8730856974919637,0.2857142857142857,0.6666666666666666,0.3333333333333333,0.4444444444444444
18,Does the use albumin for fluid resuscitation result in similar outcome at 28 days with that of normal saline?,"SAFE, FRESHS","SADASS, DDS, SAFE, ALBIOS, FEAST, SS3vsSS2",0.8450518846511841,0.14285714285714285,0.16666666666666666,0.5,0.25
19,Did hemodynamic management according to a strict early goal directed therapy protocol led to an improvement in outcome?,"RUSGATICUD, ProMISe, ARISE, AID-ICU, Rivers Trial","ProCESS, Rivers Trial, ARISE",0.8125492572784424,0.1111111111111111,0.25,0.16666666666666666,0.2
20,Does treatment with DrotAA (activated) significantly reduce mortality at 28 days or 90 days compared with placebo in patients with septic shock?,"ESDDVCIP, SADASS, PROWESS-SHOCK, PROWESS","SADASS, PROWESS-SHOCK, APROCCHSS",0.8423570394515991,0.4,0.6666666666666666,0.5,0.5714285714285715
21,"In patients with coma after out-of-hospital cardiac arrest, did targeted hypothermia lead to a lower incidence of death by 6 months than targeted normothermia?","MPOHCAUSPITHRCA, CETHACA, THvsTN, SRRCTTHNPCAP, TTM, TTM2, ITMNCA, HNPCASR, VMOCA, TCAIHCA, HACA-LA","TCAIHCA, THvsTN, TTM2, HACA-LA, CETHACA, HNPCASR, HACA, RIC, MPOHCAUSPITHRCA",0.8919634222984314,0.3333333333333333,0.5555555555555556,0.45454545454545453,0.5
22,"In unconscious survivors of out-of-hospital cardiac arrest of presumed cardiac cause, does hypothermia at a targeted temperature of 33°C provide any benefit compared with a targeted temperature of 36°C?","MPOHCAUSPITHRCA, CETHACA, THvsTN, SRRCTTHNPCAP, TTM, TTM2, ITMNCA, HNPCASR, VMOCA, TCAIHCA, HACA-LA","TCAIHCA, THvsTN, HNPCASR, HACA-LA, TTM2, HACA, RIC, TTM",0.882604267862108,0.26666666666666666,0.5,0.36363636363636365,0.4210526315789474
23,"Following patients that have been fully resuscitated after cardiac arrest secondary to a ventricular fibrillation, did therapeutic mild hypothermia increase the rate of a favorable neurologic outcome and reduce mortality?","MPOHCAUSPITHRCA, ESDDVCIP, CETHACA, THvsTN, SRRCTTHNPCAP, HACA, ITMNCA, SOPA-III, HNPCASR, VMOCA, TCAIHCA, HACA-LA","THvsTN, TTM2, HACA-LA, TCAIHCA, CETHACA, HNPCASR, HACA, RIC, MPOHCAUSPITHRCA",0.8794692307710648,0.3125,0.5555555555555556,0.4166666666666667,0.4761904761904762
24,Does treatment with haloperidol lead to a significantly greater number of days alive and out of the hospital at 90 days than placebo when encountering patients in ICU with delirium?,"ATD, RUSGATICUD, MIND-USA, AUDDICU, AUPTICUPP, AMTD, DIICU, RAEATICU, SPICE-III, AID-ICU, RDSCI, DDMLSMVICP","AMTD, RAEATICU, RUSGATICUD, DIICU, AID-ICU",0.8652172088623047,0.3076923076923077,0.8,0.3333333333333333,0.47058823529411764
25,"Does the use of ziprasidone as compared with placebo in patients with acute respiratory failure, shock, hypoactive or hyperactive delirium in the ICU alter the duration of delirium?","ATD, RUSGATICUD, MIND-USA, AUDDICU, AUPTICUPP, AMTD, DIICU, RAEATICU, SPICE-III, AID-ICU, SEDCOM, RDSCI, DDMLSMVICP","AMTD, RAEATICU, RUSGATICUD, DIICU, AID-ICU",0.8157804757356644,0.2857142857142857,0.8,0.3076923076923077,0.4444444444444444
26,Is there more adverse events in ICU patients who recieved early dexmedetomidine?,"ETSDMV, ATD, HDDSICU, MIND-USA, AUDDICU, AUPTICUPP, EDvsLSMENDS, ESDDVCIP, RUSGATICUD, AMTD, DIICU, RAEATICU, SPICE-III, AID-ICU, SMDLTSWCI, RDSCI, DDMLSMVICP","ETSDMV, DDMLSMVICP, SPICE-III, ESDDVCIP, DIICU, RDSCI, HDDSICU",0.8458427323235406,0.2631578947368421,0.7142857142857143,0.29411764705882354,0.4166666666666667
27,"Among patients undergoing mechanical ventilation in the ICU, does early dexmedetomidine for sedation result in a mortality rate similar to that of the usual-care group?","ETSDMV, ATD, HDDSICU, MIND-USA, AUDDICU, AUPTICUPP, EDvsLSMENDS, ESDDVCIP, RUSGATICUD, AMTD, DIICU, RAEATICU, SPICE-III, AID-ICU, SMDLTSWCI, SEDCOM, RDSCI, DDMLSMVICP","ETSDMV, SPICE-III, ESDDVCIP, DDS, EDvsLSMENDS, SEDCOM, RDSCI, HDDSICU",0.8924014700783623,0.3,0.75,0.3333333333333333,0.46153846153846156
28,Was there a difference between dexmedetomidine and midazolam in time at targeted sedation level in mechanically ventilated ICU patients?,"ETSDMV, ATD, HDDSICU, MIND-USA, AUDDICU, AUPTICUPP, EDvsLSMENDS, ESDDVCIP, RUSGATICUD, AMTD, DIICU, RAEATICU, SPICE-III, SEDCOM, SMDLTSWCI, RDSCI, DDMLSMVICP","RDSCI, ETSDMV, DDMLSMVICP, SPICE-III, ESDDVCIP, DDS, EDvsLSMENDS, SEDCOM, HDDSICU",0.8923931874726948,0.3,0.6666666666666666,0.35294117647058826,0.46153846153846156
29,Is bradycardia an adverse effect in critically ill patients receiving dexmedetomidine?,"ETSDMV, ATD, HDDSICU, RUSGATICUD, AUDDICU, AUPTICUPP, EDvsLSMENDS, ESDDVCIP, AMTD, DIICU, RAEATICU, SPICE-III, SEDCOM, SMDLTSWCI, RDSCI, DDMLSMVICP","RDSCI, ETSDMV, DDMLSMVICP, ESDDVCIP, SMDLTSWCI, DDS, SEDCOM, SPICE-III, HDDSICU",0.8407270908355713,0.3157894736842105,0.6666666666666666,0.375,0.4800000000000001
30,"At comparable sedation levels, did dexmedetomidine-treated patients spend less time on the ventilator, experience less delirium, and develop less tachycardia and hypertension?","ETSDMV, ATD, HDDSICU, RUSGATICUD, AUDDICU, AUPTICUPP, EDvsLSMENDS, ESDDVCIP, AMTD, DIICU, RAEATICU, SPICE-III, SEDCOM, SMDLTSWCI, RDSCI, DDMLSMVICP","ETSDMV, SPICE-III, ESDDVCIP, DDS, EDvsLSMENDS, RDSCI, HDDSICU",0.8701358970842863,0.2777777777777778,0.7142857142857143,0.3125,0.43478260869565216
31,Does routine use of corticosteroids for persistent ARDS over prolonged periods have increased survival rate? ,"ESDDVCIP, ESCPARDS","ROSE, APV, EDPMARDSLPMV, TOF-ARDS, CCCARDS, OSCILLATE, PPATDSHMA, ACURASYS, ESCPARDS, HARDST, NBSARDS, CEIIUPPSARDS, BMIMSARDS, RARDS, LSPA",0.8275387036172968,0.0,0.0,0.0,0.0
32,Is there a decrease in mortality rate among patients with ARDS with an early exposure to conservative oxygenation strategy?,"ESDDVCIP, LCOTARDS","ROSE, EDPMARDSLPMV, CHEST, TOF-ARDS, OSCILLATE, ACURASYS, ESCPARDS, NBSARDS, CEIIUPPSARDS, BMIMSARDS, RARDS, PROSEVA",0.841920576597515,0.0,0.0,0.0,0.0
33,Is there a better neurologic outcome between targeted mild hypercapnia than targeted normocapnia in patients with a coma who were resuscitated following out of hospital cardiac arrest??,"ESDDVCIP, MHNOCA","THvsTN, CETHACA",0.8524070978164673,0.0,0.0,0.0,0.0
34,Does targeting a mean arterial blood pressure of 63 or 77 mm Hg in patients resuscitated from cardiac arrest reduce mortality?,BTCSCA,"CAC, THvsTN, IHCA, OHCA, CETHACA, SEPSISPAM, RIC, BTCSCA, MCAU, EXACT",0.8436370272385446,0.0,0.0,0.0,0.0
35,"Does targeting a restrictive or liberal oxygenation strategy in comatose patients after resuscitation for cardiac arrest result in a similar incidence of death, severe disability, or coma?","OTCSCA, SPICE-III, HDDSICU, ESDDVCIP","CAC, THvsTN, HACA-LA, OHCA, CETHACA, RIC, BTCSCA, EXACT",0.8435112635294596,0.0,0.0,0.0,0.0
36,Is there a difference in outcomes in patients who receive dexmedetomidine than propofol among mechanically ventilated adults with sepsis?,"ETSDMV, HDDSICU, MIND-USA, EDvsLSMENDS, ESDDVCIP, DPSMVAS, DIICU, RAEATICU, SPICE-III, SEDCOM, RDSCI, DDMLSMVICP","ETSDMV, DDMLSMVICP, SPICE-III, ESDDVCIP, SMDLTSWCI, EDvsLSMENDS, DDS, RDSCI",0.8505297601222992,0.25,0.5,0.3333333333333333,0.4
