Question Number,Question,Docs,Retrieved Files,Avg Similarity,Accuracy,Precision,Recall,F1
1,Does early administration of neuromuscular blocking agents increases the ventilator free days?,"ENB, LSPA, NBSARDS, ACURASYS, ROSE, ESCNBC, EDPMARDSLPMV, PVOEMVRARDS, TOF-ARDS","ENB, TOF-ARDS, ACURASYS, ESCNBC, FMWSCPARDS, SMDLTSWCI, DDS, HDDSICU, ETSDMV",0.8226981321970622,0.9107142857142857,0.4444444444444444,0.4444444444444444,0.4444444444444444
2,Do patients with severe ARDS being treated with neuromuscular blocking agents have increased muscle weakness?,"ETSDMV, ENB, LSPA, NBSARDS, ACURASYS, ROSE, ESCNBC, EDPMARDSLPMV, PVOEMVRARDS, TOF-ARDS","ROSE, ACURASYS, ESCNBC, OSCILLATE, NBSARDS, CEIIUPPSARDS, PTARDS, PPATDSHMA, EDPMARDSLPMV, APV, LSPA",0.8546139913446763,0.9196428571428571,0.5454545454545454,0.6,0.5714285714285713
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?","ETSDMV, ENB, NBSARDS, ROSE, ESCNBC, PVOEMVRARDS, TOF-ARDS","ROSE, TOF-ARDS, ACURASYS, ESCNBC, BMIMSARDS, OSCILLATE, NBSARDS, CEIIUPPSARDS, PPATDSHMA, RARDS, EDPMARDSLPMV, APV, ESCPARDS, LSPA",0.8473019335005019,0.8839285714285714,0.2857142857142857,0.5714285714285714,0.38095238095238093
4,Do patients with moderate-to-severe ARDS have a significance difference in mortality rate between patients who received an early and continuous cisatracurium infusion than those with usual care approach with lighter sedation targets?,"ETSDMV, ENB, NBSARDS, ROSE, ESCNBC, PVOEMVRARDS, TOF-ARDS","ROSE, TOF-ARDS, ACURASYS, BMIMSARDS, CEIIUPPSARDS, NBSARDS, PPATDSHMA",0.8129593133926392,0.9285714285714286,0.42857142857142855,0.42857142857142855,0.42857142857142855
5,"Among patients with ALI/ARDS, does a conservative fluid management strategy improves lung function and decrease ventilator days compared to liberal strategy?","FMWSCPARDS, FACTT, PAC-in-FACTT, ARDSSRDRFMS","RARDS, FMWSCPARDS, DIHRFARDSNET, PAC-in-FACTT",0.8170326709747314,0.9642857142857143,0.5,0.5,0.5
6,Does a conservative fluid management strategy result in a significant difference in mortality as the primary outcome?,"FMWSCPARDS, FACTT, PAC-in-FACTT, ARDSSRDRFMS","FACTT, FMWSCPARDS, RARDS, ARDSSRDRFMS",0.8434309618813651,0.9821428571428571,0.75,0.75,0.75
7,Does mechanical ventilation with a lower tidal volume result in decreased mortality with acute lung injury and acute respiratory distress syndrome?,"APV, ARDSNet, DLASPEEPvsARDSNET, DIHRFARDSNET","HARDST, ENB, ARDSSRDRFMS, NBSARDS, CEIIUPPSARDS, RARDS, EDPMARDSLPMV, ARDSNet, LSPA",0.8752956766831247,0.9017857142857143,0.1111111111111111,0.25,0.15384615384615383
8,Does mechanical ventilation with a lower tidal volume result increased ventilator free days with patients with acute lung injury and acute respiratory distress syndrome?,"APV, ARDSNet, SPICE-III, AID-ICU, DLASPEEPvsARDSNET, DIHRFARDSNET","HARDST, ENB, ARDSSRDRFMS, FMWSCPARDS, NBSARDS, CEIIUPPSARDS, PPATDSHMA, RARDS, EDPMARDSLPMV, ARDSNet, LSPA, ETSDMV",0.8574740886688232,0.8571428571428571,0.08333333333333333,0.16666666666666666,0.1111111111111111
9,Prone positioning sessions in patients with severe ARDS significantly decreased mortality?,"ETSDMV, PROSEVA, CEIIUPPSARDS, EDPMARDSLPMV, PPATDSHMA","ROSE, TOF-ARDS, ACURASYS, ESCNBC, BMIMSARDS, FMWSCPARDS, CEIIUPPSARDS, NBSARDS, RARDS, EDPMARDSLPMV, APV, LSPA",0.8534840477837456,0.8839285714285714,0.16666666666666666,0.4,0.23529411764705882
10,Does early application of high frequency oscillatory ventilation compared with ventilation strategy of low tidal volume decrease mortality?,"HDDSICU, MIND-USA, OSCILLATE, SPICE-III, AID-ICU, SEDCOM","HARDST, ENB, OSCILLATE, BMIMSARDS, DDMLSMVICP, CEIIUPPSARDS, PPATDSHMA, RARDS, EDPMARDSLPMV, ARDSNet, LSPA, ETSDMV",0.8476822733879089,0.8571428571428571,0.08333333333333333,0.16666666666666666,0.1111111111111111
11,"Patients with septic shock undergoing mechanical ventilation, did continuous infusion of hydrocortisone result in lower 90-day mortality?","ANNANE, ADRENAL, MIND-USA, NEvsVP, HYPRESS, SPICE-III, PLMALDHSS, CORTICUS, AID-ICU, SEDCOM, APROCCHSS","ANNANE, CORTICUS, ADRENAL, HYPRESS, TRISS, SS3vsSS2, APROCCHSS, PLMALDHSS, FRESHS",0.8692973287482011,0.9285714285714286,0.6666666666666666,0.5454545454545454,0.6
12,Does a 7-day treatment with low doses of steroids significantly reduce the risk of death in patients with septic shock and relative adrenal insufficiency without increasing adverse events?,"ANNANE, ADRENAL, ETSDMV, DDMLSMVICP, HDDSICU, MIND-USA, NEvsVP, EDvsLSMENDS, ESDDVCIP, HYPRESS, SPICE-III, PLMALDHSS, CORTICUS, AID-ICU, SMDLTSWCI, SEDCOM, RDSCI, APROCCHSS","PLMALDHSS, ANNANE, ADRENAL, CORTICUS",0.8304953098297119,0.875,1.0,0.2222222222222222,0.3636363636363636
13,Do patients who receive hydrocortisone plus fludrocortisone have a lower 90-day all cause mortality than patients given a placebo?,"ANNANE, ADRENAL, HYPRESS, PLMALDHSS, CORTICUS, NEvsVP, APROCCHSS","ANNANE, CORTICUS, ADRENAL, HYPRESS, APROCCHSS, PLMALDHSS",0.8193416765757969,0.9910714285714286,1.0,0.8571428571428571,0.923076923076923
14,Does steroids hasten the reversal of shock in patients whom had septic shock reversed?,"ANNANE, ADRENAL, HYPRESS, PLMALDHSS, CORTICUS, NEvsVP, APROCCHSS","VASST, CORTICUS, ANNANE, ADRENAL, HYPRESS, SS3vsSS2, TRISS, NEvsVP, APROCCHSS, PLMALDHSS, FRESHS",0.8266250385957605,0.9642857142857143,0.6363636363636364,1.0,0.7777777777777778
15,Does early administration of acetaminophen to treat fever affect the number of ICU-free days,"ESDDVCIP, HEAT",HEAT,0.887364387512207,0.9910714285714286,1.0,0.5,0.6666666666666666
16,Does treatment with activated C protein significantly reduce mortality in patients with severe sepsis?,"ESDDVCIP, SADASS, PROWESS-SHOCK, PROWESS","PROWESS, ULS, EDIS, CABS, LOVIT, SADASS, ALBIOS, Rivers Trial, PROWESS-SHOCK, APROCCHSS, PLMALDHSS, EDvsLSMENDS",0.8495809369617038,0.9107142857142857,0.25,0.75,0.375
17,Albumin replacement in addition to crystalloids compared with crystalloids alone did not improve the rate of survival,"RUSGATICUD, FRESHS, ULS, SS3vsSS2, ALBIOS, EHPSS","ULS, ALBIOS, SS3vsSS2",0.8730856974919637,0.9732142857142857,1.0,0.5,0.6666666666666666
18,Does the use albumin for fluid resuscitation result in similar outcome at 28 days with that of normal saline?,"SAFE, FRESHS","SAFE, FEAST, SS3vsSS2, SADASS, ALBIOS, DDS",0.8450518846511841,0.9464285714285714,0.16666666666666666,0.5,0.25
19,Did hemodynamic management according to a strict early goal directed therapy protocol led to an improvement in outcome?,"RUSGATICUD, ProMISe, ARISE, AID-ICU, Rivers Trial","Rivers Trial, ProCESS, ARISE",0.8125492572784424,0.9642857142857143,0.6666666666666666,0.4,0.5
20,Does treatment with DrotAA (activated) significantly reduce mortality at 28 days or 90 days compared with placebo in patients with septic shock?,"ESDDVCIP, SADASS, PROWESS-SHOCK, PROWESS","PROWESS-SHOCK, APROCCHSS, SADASS",0.8423570394515991,0.9732142857142857,0.6666666666666666,0.5,0.5714285714285715
