Question Number,Question,Support,Against,Neutral
1,Does early administration of neuromuscular blocking agents increases the ventilator free days?,"ACURASYS, FMWSCPARDS, ETSDMV, TOF-ARDS",ROSE,"ESCNBC, RARDS, DDS, HDDSICU"
2,Do patients with severe ARDS being treated with neuromuscular blocking agents have increased muscle weakness?,,"ROSE, NBSARDS, ACURASYS, LSPA","BMIMSARDS, EDPMARDSLPMV, PROSEVA, TOF-ARDS, CEIIUPPSARDS, ESCNBC"
3,"In patients with moderate to severe ARDS, does early use of continuous neuromuscular blockade improve mortality?","NBSARDS, ACURASYS, LSPA","ROSE, ESCNBC, ESCPARDS","BMIMSARDS, PROSEVA, CCCARDS, CEIIUPPSARDS"
4,Do patients with moderate-to-severe ARDS have a significance difference in mortality rate between patients who received an early and continuous cisatracurium infusion than those with usual care approach with lighter sedation targets?,"ACURASYS, TOF-ARDS",ROSE,"ENB, NBSARDS, BMIMSARDS, EDPMARDSLPMV, CEIIUPPSARDS, CCCARDS, PVOEMVRARDS, PROSEVA"
5,"Among patients with ALI/ARDS, does a conservative fluid management strategy improves lung function and decrease ventilator days compared to liberal strategy?","FMWSCPARDS, PAC-in-FACTT",,"NBSARDS, RARDS, DTNP, VMOCA"
6,Does a conservative fluid management strategy result in a significant difference in mortality as the primary outcome?,PAC-in-FACTT,,FACTT
7,Does mechanical ventilation with a lower tidal volume result in decreased mortality with acute lung injury and acute respiratory distress syndrome?,"ARDSNet, ENB, NBSARDS, EDPMARDSLPMV, CEIIUPPSARDS, LSPA",,"RARDS, HARDST, VMOCA, ETSDMV"
8,Does mechanical ventilation with a lower tidal volume result increased ventilator free days with patients with acute lung injury and acute respiratory distress syndrome?,"NBSARDS, RARDS, FMWSCPARDS, EDPMARDSLPMV, HARDST, CEIIUPPSARDS, LSPA",,"BMIMSARDS, ETSDMV, VMOCA"
9,Prone positioning sessions in patients with severe ARDS significantly decreased mortality?,"ACURASYS, PROSEVA, CEIIUPPSARDS",ROSE,"NBSARDS, BMIMSARDS, CCCARDS, EDPMARDSLPMV, LSPA, PVOEMVRARDS"
10,Does early application of high frequency oscillatory ventilation compared with ventilation strategy of low tidal volume decrease mortality?,,"ARDSNet, OSCILLATE","BMIMSARDS, CEIIUPPSARDS, NBSARDS, HARDST, EDPMARDSLPMV, LSPA, ETSDMV, PPATDSHMA, RARDS"
11,"Patients with septic shock undergoing mechanical ventilation, did continuous infusion of hydrocortisone result in lower 90-day mortality?","APROCCHSS, ANNANE","ADRENAL, HYPRESS, CORTICUS, PLMALDHSS","ARISE, NSS, SOAP-II"
12,Does a 7-day treatment with low doses of steroids significantly reduce the risk of death in patients with septic shock and relative adrenal insufficiency without increasing adverse events?,"ADRENAL, ANNANE","HYPRESS, CORTICUS, PLMALDHSS",SOAP-II
13,Do patients who receive hydrocortisone plus fludrocortisone have a lower 90-day all cause mortality than patients given a placebo?,"APROCCHSS, ANNANE","ADRENAL, CORTICUS, PLMALDHSS",
14,Does steroids hasten the reversal of shock in patients whom had septic shock reversed?,"APROCCHSS, ADRENAL, HYPRESS, CORTICUS, ANNANE",PROWESS-SHOCK,"NSS, PLMALDHSS, SOAP-II, VASST"
15,Does early administration of acetaminophen to treat fever affect the number of ICU-free days,,HEAT,TCAIHCA
16,Does treatment with activated C protein significantly reduce mortality in patients with severe sepsis?,"SADASS, Rivers Trial","PROWESS-SHOCK, ALBIOS","EDIS, CABS, ARISE, NSEPSIS, ULS, PTARDS, EDvsLSMENDS"
17,Albumin replacement in addition to crystalloids compared with crystalloids alone did not improve the rate of survival,"EHPSS, SS3vsSS2, ALBIOS, ULS",,
18,Does the use albumin for fluid resuscitation result in similar outcome at 28 days with that of normal saline?,SAFE,ALBIOS,"FEAST, SADASS, EDIS, SS3vsSS2, ULS"
19,Did hemodynamic management according to a strict early goal directed therapy protocol led to an improvement in outcome?,Rivers Trial,"ARISE, ProCESS",
20,Does treatment with DrotAA (activated) significantly reduce mortality at 28 days or 90 days compared with placebo in patients with septic shock?,,PROWESS-SHOCK,"ADRENAL, ARISE, SOAP-II"
21,"In patients with coma after out-of-hospital cardiac arrest, did targeted hypothermia lead to a lower incidence of death by 6 months than targeted normothermia?",SRRCTTHNPCAP,"HNPCASR, HACA-LA, HACA, THvsTN, TCAIHCA","RIC, TTM2, CETHACA, MHNOCA, VMOCA"
22,"In unconscious survivors of out-of-hospital cardiac arrest of presumed cardiac cause, does hypothermia at a targeted temperature of 33°C provide any benefit compared with a targeted temperature of 36°C?",MPOHCAUSPITHRCA,"HNPCASR, HACA-LA, TTM2, TCAIHCA, TTM","ITMNCA, RIC, VMOCA, THvsTN"
23,"Following patients that have been fully resuscitated after cardiac arrest secondary to a ventricular fibrillation, did therapeutic mild hypothermia increase the rate of a favorable neurologic outcome and reduce mortality?","SRRCTTHNPCAP, HACA-LA, CETHACA, HACA, VMOCA",TCAIHCA,"RIC, EXACT, THvsTN"
24,Does treatment with haloperidol lead to a significantly greater number of days alive and out of the hospital at 90 days than placebo when encountering patients in ICU with delirium?,,"MIND-USA, RAEATICU, LSPA, AMTD","AID-ICU, DDMLSMVICP, RUSGATICUD, ASD"
25,"Does the use of ziprasidone as compared with placebo in patients with acute respiratory failure, shock, hypoactive or hyperactive delirium in the ICU alter the duration of delirium?",,"RUSGATICUD, MIND-USA, AID-ICU","RAEATICU, AMTD, DIICU, AUPTICUPP, ETSDMV, ASD"
26,Is there more adverse events in ICU patients who recieved early dexmedetomidine?,"EDvsLSMENDS, HDDSICU, DDMLSMVICP, ETSDMV, LSPA, RDSCI",,
27,"Among patients undergoing mechanical ventilation in the ICU, does early dexmedetomidine for sedation result in a mortality rate similar to that of the usual-care group?",,,"SPICE-III, HDDSICU, ETSDMV, ESDDVCIP, SEDCOM, RDSCI"
28,Was there a difference between dexmedetomidine and midazolam in time at targeted sedation level in mechanically ventilated ICU patients?,SMDLTSWCI,SEDCOM,"RDSCI, HDDSICU, DDMLSMVICP, ETSDMV, ESDDVCIP"
29,Is bradycardia an adverse effect in critically ill patients receiving dexmedetomidine?,"DDS, ETSDMV, ESDDVCIP, SEDCOM, RDSCI",,HDDSICU
30,"At comparable sedation levels, did dexmedetomidine-treated patients spend less time on the ventilator, experience less delirium, and develop less tachycardia and hypertension?","DDS, SPICE-III, HDDSICU, ETSDMV, SEDCOM, RDSCI",,
31,Does routine use of corticosteroids for persistent ARDS over prolonged periods have increased survival rate? ,"CCCARDS, ACURASYS, PROSEVA","ESCPARDS, HYPRESS","BMIMSARDS, HARDST, LSPA, NBSARDS, CEIIUPPSARDS"
32,Is there a decrease in mortality rate among patients with ARDS with an early exposure to conservative oxygenation strategy?,"ACURASYS, CCCARDS, LSPA, PROSEVA",ESCPARDS,"ROSE, NBSARDS, BMIMSARDS, CHEST, EDPMARDSLPMV, PTARDS, PVOEMVRARDS"
33,Is there a better neurologic outcome between targeted mild hypercapnia than targeted normocapnia in patients with a coma who were resuscitated following out of hospital cardiac arrest??,,MHNOCA,"THvsTN, SRRCTTHNPCAP, TTM2"
34,Does targeting a mean arterial blood pressure of 63 or 77 mm Hg in patients resuscitated from cardiac arrest reduce mortality?,,BTCSCA,
35,"Does targeting a restrictive or liberal oxygenation strategy in comatose patients after resuscitation for cardiac arrest result in a similar incidence of death, severe disability, or coma?","EXACT, SRRCTTHNPCAP, TTM2",,"BTCSCA, VMOCA, MHNOCA, CETHACA, HACA-LA, CAC, RIC, IHCA"
36,Is there a difference in outcomes in patients who receive dexmedetomidine than propofol among mechanically ventilated adults with sepsis?,EDvsLSMENDS,,"DDS, HDDSICU, ETSDMV, ESDDVCIP, RDSCI"
