,Question,Docs
0,Relevace Q1,"ACURASYS, ROSE"
1,Relevace Q2,"ACURASYS, ROSE"
2,Relevace Q3,ROSE
3,Relevace Q4,ROSE
4,Relevace Q5,FACTT
5,Relevace Q6,FACTT
6,Relevace Q7,ARDSNet
7,Relevace Q8,ARDSNet
8,Relevace Q9,PROSEVA
9,Relevace Q10,OSCILLATE
10,Relevace Q11,"APPROCCHSS, ADRENAL, ANNANE, CORTICUS"
11,Relevace Q12,"APPROCCHSS, ADRENAL, ANNANE, CORTICUS"
12,Relevace Q13,"APPROCCHSS, ADRENAL, ANNANE, CORTICUS"
13,Relevace Q14,"APPROCCHSS, ADRENAL, ANNANE, CORTICUS"
14,Relevace Q15,HEAT
15,Relevace Q16,"PROWESS, PROWESS-SHOCK"
16,Relevace Q17,"SAFE, ALBIOS"
17,Relevace Q18,"SAFE, ALBIOS"
18,Relevace Q19,ProMISe
19,Relevace Q20,"PROWESS, PROWESS-SHOCK"
20,Relevace Q21,"TTM2, TTM"
21,Relevace Q22,"TTM2, TTM"
22,Relevace Q23,HACA
23,Relevace Q24,AID-ICU
24,Relevace Q25,MIND-USA
25,RelevanceQ26,SPICE III
26,RelevanceQ27,SPICE III
27,RelevanceQ28,SEDCOM
28,RelevanceQ29,SEDCOM
29,RelevanceQ30,SEDCOM
30,RelevanceQ31,ESCPARDS
31,RelevanceQ32,LCOTARDS
32,RelevanceQ33,MHNOCA
33,RelevanceQ34,BTCSCA
34,RelevanceQ35,OTCSCA
35,RelevanceQ36,DPSMVAS
